title,total_time,serving_size,ingr,instructions,nativeCuisine,country
Quick and Easy Kimchi Salad,55,3 cups,"1 small head cabbage, shredded","Combine cabbage and rock salt together in a bowl. Let stand 15 minutes, stirring often. Rinse lightly and drain.

Mix cabbage, carrot, vinegar, vegetable oil, sugar, sesame oil, sesame seeds, cayenne pepper, and salt together in a bowl. Refrigerate until chilled, at least 30 minutes.
",korean,KOR
Awesome Korean Steak,750,6 Servings,2 pounds thinly sliced Scotch fillet (chuck eye steaks),"In a large bowl, stir together the soy sauce, sugar, sesame seeds, sesame oil, shallots, garlic, and mirin. Add the meat, and stir to coat. Cover and refrigerate for 12 to 24 hours.

Heat a large skillet over medium heat. Fry the meat for 5 to 10 minutes, or until no longer pink. Serve with salad or fried rice.
",korean,KOR
Korean Fried Chicken Sauce,45,6 servings,½ cup ketchup,"Whisk ketchup, green onion, garlic, lemon juice, honey, chile-garlic sauce, red pepper flakes, and black pepper together in a saucepan over medium-high heat; add enough water to reach desired sauce consistency. Bring sauce to a simmer; reduce heat to medium-low, and simmer until thick and flavors blend, about 5 minutes. Cool to room temperature and season with salt.
",korean,KOR
Korean Spicy Marinated Pork (Dae Ji Bool Gogi),240,8 servings,¼ cup rice wine vinegar,"Stir together the vinegar, soy sauce, hot pepper paste, garlic, ginger, red pepper flakes, black pepper, sugar, green onions, and yellow onion in a large bowl. Mix in the pork slices, mixing well until completely coated. Place into a resealable plastic bag, squeeze out any excess air, seal, and marinate in the refrigerator at least 3 hours.

Heat the canola oil in a large skillet over medium-high heat. Add the pork slices in batches, and cook until no longer pink in the center, and lightly browned on the outside, about 5 minutes per batch. Be careful when cooking the meat, the spicy fumes will hurt your nose!
",korean,KOR
Kimchi Jun (Kimchi Pancake) and Dipping Sauce,30,8 pancakes,"1 cup kimchi, drained and chopped","Stir together the kimchi, kimchi juice, flour, eggs, and green onion in a bowl.

Heat vegetable oil over medium heat in a large skillet. Using about 1/4 cup of batter for each pancake, pour into skillet, spreading as thin as possible. Cook pancakes until set and lightly browned, turning once, 3 to 5 minutes per side. Season to taste with salt.

Whisk together the rice vinegar, soy sauce, sesame oil, chili pepper flakes, and toasted sesame seeds. Serve with the pancakes.
",korean,KOR
Yaki Mandu,45,25 dumplings,1 pound ground beef,"Heat a large skillet over medium-high heat. Cook and stir beef in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease.

Heat vegetable oil in a separate skillet over medium heat.

Mix green onions, cabbage, carrot, garlic, 1 tablespoon sesame oil, 1 tablespoon sesame seeds, monosodium glutamate, salt, and pepper into ground beef mixture; cook and stir until liquid is evaporated and vegetables are tender, 5 to 10 minutes. Transfer beef mixture to a bowl and mix in 1 egg.

Crack the second egg into a bowl and beat well.

Hold 1 wonton wrapper in the palm of your hand and brush a thin layer of beaten egg on 1 edge. Scoop about 1 teaspoon beef mixture into the center of the wrapper. Fold wrapper in half, corner to corner, to make a triangle and pinch the edges shut, crimping with your fingers to make a seal. Press the air out by cupping your fingers over the dumpling in your palm and pressing lightly.

Fry wontons in the hot oil until 1 side is browned, 2 to 3 minutes. Flip and cook until other side is browned, 2 to 3 minutes. Transfer wontons to a paper towel-lined plate to drain using a slotted spoon.

Whisk soy sauce, rice wine vinegar, 1 teaspoon sesame oil, and 1 teaspoon sesame seeds together in a bowl until dipping sauce is smooth. Serve alongside wontons.
",korean,KOR
Spicy Cabbage Kimchi,420,14 cups,2 heads napa cabbage,"Cut the cabbages in half lengthwise and trim the ends. Rinse and cut into pieces about 2 inch square. Place the cabbage into large resealable bags and sprinkle salt on the leaves so they are evenly coated. Use your hands to rub the salt in to the leaves. Seal the bags and leave at room temperature for 6 hours.

Rinse the salt from the cabbage leaves and then drain and squeeze out any excess liquid. Place the cabbage in a large container with a tight fitting lid. Stir in the fish sauce, green onions, white onion, garlic, sugar and ginger. Sprinkle the Korean chile powder over the mixture. Wear plastic gloves to protect your hands and rub the chile powder into the cabbage leaves until evenly coated. Seal the container and set in a cool dry place. Leave undisturbed for 4 days. Refrigerate before serving, and store in the refrigerator for up to 1 month (if it lasts that long!).
",korean,KOR
Bulgogi (Korean Barbecued Beef),200,4 servings,3 tablespoons soy sauce,"In a large resealable plastic bag, combine soy sauce, sesame oil, sesame seeds, garlic, sugar, salt, black pepper, and MSG. Place beef, carrots, and onions in the bag; seal, and shake to coat the vegetables and beef with the sauce. Refrigerate for at least 2 1/2 hours. I prefer to marinate mine overnight.

Preheat an outdoor grill for high heat. Remove meat and vegetables from marinade, and place on a large sheet of aluminum foil; seal. Discard marinade.

Place on grill, and cook for 15 to 20 minutes, or to desired doneness.
",korean,KOR
Korean Soft Tofu Stew (Soon Du Bu Jigae),20,2 servings,1 teaspoon vegetable oil,"Heat the vegetable oil in a large saucepan over medium heat. Stir in the Korean chile powder and ground beef. Cook and stir until the beef is crumbly, evenly browned, and no longer pink. Stir in the soy bean paste, coating the beef. Pour in the water and bring to a boil. Season with salt and pepper. Gently drop tofu into the soup and continue cooking until the tofu is heated through, 1 to 2 minutes. Remove from heat and quickly add the egg into the soup, stirring gently to break it up. Garnish with sesame seeds and green onion.
",korean,KOR
Japchae,45,8 servings,3 tablespoons soy sauce,"Whisk soy sauce, sugar, sesame oil, and garlic in a bowl until sugar is dissolved into sauce.

Bring a large pot of lightly salted water to a boil. Cook sweet potato noodles in the boiling water, stirring occasionally until cooked through but firm to the bite, 6 to 7 minutes. Rinse noodles under cold water and drain. Transfer noodles to a bowl, add 2 tablespoons sauce, and toss to coat.

Squeeze beef under running water until juices run clear. Mix beef and 1 tablespoon sauce together in a bowl.

Bring a pot of water to a boil. Cook spinach in the boiling water until just wilted, about 1 minute. Drain quickly and transfer spinach to a bowl of cold water to stop the cooking process. Squeeze excess water from spinach, place spinach in a large bowl, and season with salt and pepper.

Heat 1 teaspoon oil in a large skillet over medium-high heat; cook onion until fragrant but crisp, 1 to 2 minutes. Transfer onion to the bowl with spinach. Heat another 1 teaspoon oil in the same skillet. Cook mushrooms in the hot oil until lightly browned but still firm, 1 to 2 minutes; add to onion mixture. Heat remaining 1 teaspoon oil in the same skillet. Cook carrot in the hot oil until lightly browned but still crisp, 1 to 2 minutes; add to onion mixture.

Cook and stir beef in the same skillet until browned, 1 to 2 minutes; add to onion mixture. Cook and stir noodles in the same skillet until heated through, 1 to 2 minutes; add to beef-onion mixture. Add remaining sauce to beef-noodles mixture and toss to coat using your hands.
",korean,KOR
Kalbi (Marinated Beef Short Ribs),520,6 servings,¾ cup white sugar,"Stir the sugar into the soy sauce in a bowl until the sugar dissolves completely. Whisk the sesame oil, garlic, green onions, and sesame seeds into the soy sauce. Place the short ribs in a large, sealable bag and pour the marinade over the meat. Marinate in refrigerator for 8 hours or overnight.

Preheat an outdoor grill for medium heat, and lightly oil the grate. Remove the ribs from the bag; discard the marinade.

Cook the short ribs on the preheated grill until they are very firm, hot, and grey in the center, about 15 minutes per side. An instant-read thermometer inserted into the center should read 160 degrees F (70 degrees C).
",korean,KOR
Grilled Korean-Style Beef Short Ribs,620,4 servings,"1 large Asian pear, peeled, cored and sliced","Mix pear slices, sherry wine, soy sauce, rice vinegar, brown sugar, garlic, ginger, hoisin sauce, hot chili paste, and sesame oil in a blender until smooth, about 4 minutes.

Arrange short ribs in a 9x13-inch baking dish and coat completely with marinade. Cover baking dish with plastic wrap and transfer to the refrigerator to marinate for 8 to 12 hours.

Remove short ribs to a plate and blot dry with paper towel to remove excess marinade.

Preheat an outdoor grill for medium-high heat, and lightly oil the grate.

Grill short ribs until firm, hot, and slightly pink in the center, about 4 minutes per side. An instant-read thermometer inserted into the center should read 140 degrees F (60 degrees C).
",korean,KOR
Korean Kebabs,185,6 servings,¼ cup vegetable oil,"Mix oil, soy sauce, and peanut butter together in a bowl until blended and creamy. Stir in spring onion, sesame seeds, garlic, red chile powder, salt, and pepper. Add pork to marinade; turn to coat.

Marinate pork in the refrigerator for 2 to 4 hours.

Preheat oven to 400 degrees F (200 degrees C). Line a rimmed baking sheet with aluminum foil.

Thread pork, onion, mushrooms, red bell pepper, and zucchini onto skewers. Transfer to the baking sheet. Pour marinade on top.

Bake in the preheated oven until pork is tender and browned, about 30 minutes.
",korean,KOR
Korean Kimchi,200,5 cups,"3 heads napa cabbage, cored and cut into quarters lengthwise","Cut the cabbage leaves into 2 inch long pieces. Spread 1/4 of the leaves into a large, non-metallic bowl and sprinkle with 1/4 of the salt. Repeat layering all of the cabbage has been salted. Let stand at room temperature until a lot of liquid has been pulled from the leaves and the cabbage is tender, 3 to 4 hours; drain. Rinse the cabbage in 2 or 3 changes of water. Drain again very well and return the cabbage to the mixing bowl.

Sprinkle the cabbage with the minced garlic, green onions, MSG, and red pepper flakes. Season to taste with additional salt and toss until evenly combined. Pack the mixture into a sterilized gallon-sized glass jar. Cover the jar with wax paper and a loose fitting lid so the seal is not airtight.

Allow the cabbage to ferment at room temperature until it reaches the desired degree of sourness, 2 to 5 days. Store in an airtight jar in the refrigerator.
",korean,KOR
Korean Egg Roll Triangles,60,6 servings,½ (8 ounce) package dry thin Asian rice noodles (rice vermicelli),"Bring a pot of water to a boil, drop in the rice noodles, and boil until the noodles are soft but not mushy, 3 to 5 minutes, stirring occasionally. Rinse with cold water, and drain in a colander set in the sink. Chop the noodles up into small pieces, and set aside.

Wrap the shredded cabbage in a kitchen towel or a length of cheesecloth, and squeeze the excess moisture out. Place the cabbage, tofu, zucchini, green onions, garlic, black pepper, sesame oil, eggs, salt, and chopped rice noodles in a large bowl, and mix with your hands until evenly mixed and the tofu is broken up into very small chunks.

Place a round wonton wrapper onto a work surface, and spoon 1 to 2 teaspoons of filling into the center of the wrapper. Dip your finger in water and moisten the edge of the wrapper about halfway around, then fold the wrapper over, enclosing the filling, and pinch the edges together to make a half-moon shape. Lay the completed rolls on a cookie sheet while you finish filling and folding the rest.

Heat the vegetable oil in a heavy skillet, and working in batches, fry the rolls until golden brown, 2 to 3 minutes per side.
",korean,KOR
Tteokbokki (Korean Spicy Rice Cakes),30,2 servings,3 cups water,"Combine water and anchovies in a saucepan and bring to a boil. Cook for 10 minutes. Remove anchovies.

Combine chile paste, sugar, soy sauce, and corn syrup in a bowl to make the sauce.

Add rice cakes and onion to the anchovy water in the saucepan. Add sauce. Bring to a boil and cook for 5 minutes, stirring occasionally. Add spring onion and boil 3 minutes more.
",korean,KOR
Godeungeo Jorim (Korean Braised Mackerel with Radish),55,4 servings,"1 red chile pepper, seeded and minced","Combine red chile pepper, green chile pepper, cooking wine, gochugaru, gochujang, soy sauce, brown sugar, garlic, and ginger in a small bowl; mix well to make sauce.

Place water and daikon radish in a large pot. Bring to a boil; cook until radish is tender, about 5 minutes.

Stir mackerel pieces into the pot. Pour sauce over the mackerel. Cook over high heat, occasionally spooning sauce over mackerel but not stirring the mixture, until cooking liquid has reduced by half, about 10 minutes. Reduce heat and simmer, partially covered, until sauce thickens, about 15 minutes.

Garnish mackerel with green onions.
",korean,KOR
Refreshing Korean Cucumber Salad,55,6 servings,"3 pounds seedless cucumber, sliced paper-thin","Place sliced cucumbers in a large bowl and sprinkle evenly with sea salt; allow liquid to drain from cucumbers, about 15 minutes. Spoon cucumbers onto sheets of paper towels; wrap paper towels around cucumbers and wring out as much liquid as possible.

Mix rice vinegar, rice wine, sesame oil, honey, lemon juice, green onion, sesame seeds, walnuts, garlic, Korean red pepper powder, and ground black pepper in a bowl; add cucumbers and toss. Cover bowl with plastic wrap and refrigerate until flavors blend, at least 30 minutes.
",korean,KOR
Fried Kimchi,20,4 servings,"1 cup kimchi, chopped into bite-sized pieces, or to taste","Heat a nonstick skillet to medium-high heat. Add kimchi. Saute until fragrant and slightly yellow, about 5 minutes. Add sesame oil; cook until kimchi is coated, 2 to 3 minutes. Pour in vinegar to coat the bottom of the skillet. Increase heat slightly; bring vinegar to a boil. Add sugar. Reduce heat to low; cook until sugar dissolves and kimchi is browned, about 3 minutes.
",korean,KOR
Beef Bulgogi with Dipping Sauce,53,2 pounds beef bulgogi,¼ cup soy sauce,"Mix 1/4 cup soy sauce, green onions, 3 tablespoons sugar, oil, garlic, sesame oil, and 1 teaspoon sesame seeds together in a bowl. Add beef to the marinade. Let sit until flavors are well absorbed, at least 30 minutes.

Mix 6 tablespoons soy sauce, vinegar, 2 teaspoons sesame seeds, ginger root, paprika, cayenne pepper, and 1 pinch sugar together in a separate bowl to make the dipping sauce.

Heat a skillet over medium-high heat. Cook and stir beef until firm and lightly browned, 8 to 10 minutes. Serve with dipping sauce.
",korean,KOR
Chap Chee Noodles,55,4 servings,1 tablespoon soy sauce,"In a large bowl, combine 1 tablespoon soy sauce, sesame oil, green onions, garlic, sesame seeds, 1 teaspoon sugar, and 1/4 teaspoon pepper. Stir in sliced beef, and marinate at room temperature for 15 minutes.

Heat wok or large skillet over medium-high heat, then drizzle with oil. Cook beef until evenly brown. Stir in carrots, bamboo shoots, napa cabbage, and spinach. Add cellophane noodles, 2 tablespoons soy sauce, 1 tablespoon sugar, 1/2 teaspoon salt, and 1/4 teaspoon pepper. Reduce heat to medium, and cook until heated through.
",korean,KOR
Sweet Korean Crispy Chicken,66,3 chicken breasts,2 tablespoons rice wine vinegar,"Mix rice wine vinegar, 1 teaspoon garlic, 1 teaspoon ginger, salt, and 1 pinch pepper in a bowl with the chicken. Allow to sit for 20 to 30 minutes.

Combine honey, vinegar, brown sugar, gochujang, soy sauce, 2 teaspoons garlic, 1 teaspoon ginger, and 1 pinch black pepper in a pot over medium heat. Stir well; when bubbling, reduce heat to low and simmer 3 to 4 minutes. Remove from heat.

Toss cornstarch with the chicken to coat evenly.

Fill a pan with 1 inch oil and heat to 350 degrees F (175 degrees C). Add chicken in small batches, making sure to not overcrowd the pan. Cook until lightly golden brown, about 2 minutes per side.

Reheat oil to 350 degrees F (175 degrees C) and deep fry chicken once more until deeply golden, about 40 seconds each. Transfer chicken to the pot of sauce.

Heat sauce and chicken over medium-low heat until warmed through, about 3 minutes.
",korean,KOR
Dol Sot Bi Bim Bap,120,6 servings,½ cup soy sauce,"Make the marinade for the beef. Combine the soy sauce, sugars, garlic, green onions, sesame seeds in a large bowl; add the sliced beef strips to the marinade, and season with salt and pepper. Cover, and refrigerate for at least 2 hours.

Bring the rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low and cover; simmer until the rice is tender and the liquid has been absorbed, 20 to 25 minutes.

Preheat an oven to 425 degrees F (220 degrees C), and place 6 Korean stone bowls in oven. Combine shiitake mushrooms and 1/2 cup hot water in a small bowl, and soak for about 10 minutes, until pliable. Trim off and discard the stems. Thinly slice the caps. Set aside.

Bring a saucepan of water to a boil. Add spinach to the water just long enough to wilt the leaves, and then drain and pat dry. Set aside. Combine cucumber and carrots in a bowl, and season with salt and pepper. Set aside.

Preheat wok over medium-high heat.  Cook carrots and cucumbers in a small amount of sesame oil to soften, stirring frequently. Remove from pan, and set aside. Add a small amount of sesame oil to the pan, and cook spinach in sesame oil for a minute or two. Remove spinach from pan,and set aside. Add the meat strips and marinade to the wok; cook, stirring frequently, until the liquid reduces in volume, about 4 to 5 minutes.

Transfer the stone bowls from the oven to suitable heat resistant surface. Brush each bowl with sesame oil to coat.  Divide the rice into the bowls, and gently pack to the bottom (the rice should sizzle as you arrange). Arrange the cucumbers and carrots, bean sprouts, greens, shiitake mushrooms, and beef mixture over each potion of rice. Immediately before serving , add one raw egg yolk to each bowl, drizzle with about a tablespoon of sesame oil, and top with the nori. Serve Kochujang sauce as a condiment.
",korean,KOR
Easy Sheet Pan Beef Bulgogi,85,6 servings,1 ½ pounds flat iron steak,"Slice steak across the grain as thinly as possible. Add soy sauce, brown sugar, fish sauce, ginger, sesame oil, chile paste, sesame seeds, and garlic to a large bowl. Mix well. Add steak and marinate for 1 hour in the refrigerator, or up to overnight.

Preheat the oven to 450 degrees F (230 degrees C). Remove steak from the refrigerator and bring to room temperature.

Spray a sheet pan with cooking spray. Arrange onion and sugar snap peas on one side. Drizzle with enough olive oil to coat. Season with salt and pepper. Gently shake excess marinade off the steak and place on the other side of the pan.

Bake in the preheated oven until steak is slightly charred on the edges, 10 to 12 minutes. Garnish with green onions.
",korean,KOR
Bulgogi (Korean BBQ),95,4 servings,1 cup soy sauce,"In a large bowl, mix together soy sauce, pear juice, sugar, garlic, sesame oil, sesame seeds, black pepper, and monosodium glutamate. Place beef and onions into the mixture, and stir to coat. Cover, and refrigerate for 1 hour.

Preheat grill pan over high heat. Brush oil over grill pan, and add beef and onions. Cook, turning to brown evenly, for 3 to 6 minutes, or until done.
",korean,KOR
Jajangmyeon (Vegetarian Korean Black Bean Noodles),30,2 servings,½ tablespoon canola oil,"Heat oil in a wok over medium heat. Add garlic, carrot, and potato. Stir and add salt and pepper. Cook until softened, 5 to 7 minutes. Add zucchini and onion; stir.

Combine cornstarch and water together in a bowl until fully mixed.

Add water, black bean paste, and sugar to the wok and stir. Add starch mixture to wok slowly while stirring; cook until sauce thickens, 3 to 5 minutes.

Bring a large pot of lightly salted water to a boil. Cook noodles in boiling water, stirring occasionally, until noodles are tender yet firm to the bite, about 3 minutes. Drain.

Serve noodles in a large pasta bowl and add black bean mixture on top. Mix well.
",korean,KOR
Korean BBQ Beef (Pul-Kogi),30,4 servings,"1 pound beef top sirloin, thinly sliced","In a large resealable plastic bag, combine beef with garlic, pear, green onions, soy sauce, sugar, sesame oil, rice wine, sesame seeds, fresh ginger, and ground black pepper. Seal, and refrigerate for 2 to 3 hours.

Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Brush oil over grill pan. Place beef on pan. Cook, turning to brown evenly, for 3 to 6 minutes, or until done.
",korean,KOR
Easy and Simple Korean BBQ Ribs,150,4 servings,1 cup soy sauce,"Whisk together the soy sauce and sugar in a bowl until the sugar has dissolved, and stir in the black pepper, garlic, green onions, sesame oil, and sesame seeds.

Place the ribs in a large bowl, and pour the marinade over the ribs. Stir to coat the ribs with the marinade, and refrigerate for 1 hour. Stir the ribs and marinade again, and refrigerate for 1 more hour.

Preheat an outdoor grill for medium-high heat, and lightly oil the grate.

Remove the ribs from the marinade, discard the marinade, and grill the ribs until brown and no longer pink in the center, about 5 minutes per side. Have a spray bottle of water handy in case the ribs flare up.
",korean,KOR
Korean Potatoes,25,4 servings,2 tablespoons vegetable oil,"Heat oil in a wok over medium-high heat. Add potatoes; stir-fry until browned in spots and partially cooked through, 5 to 7 minutes.

While potatoes are cooking, mix water, soy sauce, ketchup, corn syrup, sugar, garlic, and red pepper flakes together in a bowl.

Pour soy sauce mixture over potatoes. Reduce heat and simmer until potatoes are tender and sauce thickens, 6 to 8 minutes. Sprinkle with sesame seeds and toss to coat.
",korean,KOR
Vegetarian Kimchi,145,3 1-quart jars,"1 head napa cabbage, chopped","Rinse cabbage well. Put the cabbage in a bowl and sprinkle liberally with salt, tossing to mix. Set aside for 1 hour.

Mix more salt into the cabbage and set aside for another hour. Wash and drain the cabbage. Combine the garlic, ginger, and onion in a blender with the water. Blend on high speed until smooth.

Stir together the rinsed drained cabbage, garlic-ginger mixture, minced green onions, cayenne pepper, persimmon, radish, and cucumber and mix well. Transfer the mixture into airtight containers, and refrigerate for 3 days before serving.
",korean,KOR
Korean Marinated Flank Steak,510,6 servings,4 cloves garlic,"Place garlic, ginger, and onion in the bowl of a blender. Add soy sauce, sesame oil, Worcestershire sauce, meat tenderizer, and sugar. Puree until smooth.

Pour the marinade into a resealable plastic bag or glass bowl. Score the flank steak and place into the marinade. Marinate overnight in the refrigerator.

Preheat a grill for medium-high heat.

Grill steak on preheated grill to desired doneness, about 7 minutes per side for medium.
",korean,KOR
Korean Mandu (Egg Roll),40,96 wontons,1 cup shredded cabbage,"Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add cabbage, cover, and steam until tender, 2 to 4 minutes.

Heat a large skillet over medium-high heat. Cook and stir beef and pork in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease. Transfer meat mixture to a large bowl, breaking up any large chunks with a wooden spoon.

Heat oil in a deep-fryer or large saucepan to 360 degrees F (182 degrees C).

Mix cabbage, bean sprouts, celery, green onion, soy sauce, cornstarch, sesame oil, salt, and pepper into meat mixture. Spoon mixture into the center of each wonton wrapper. Spread beaten egg onto 2 edges of each wrapper and fold wrapper around filling, sealing edges together.

Fry wontons in the hot oil until browned, 3 to 5 minutes. Transfer to a paper towel-lined plate using a slotted spoon.
",korean,KOR
Best Bulgoki - Korean Barbeque Beef,504,4 servings,"6 scallions, chopped","Whisk scallions, pear, dark soy sauce, sesame oil, 1 tablespoon mirin, 1 tablespoon brown sugar, garlic, lime juice, ginger, black pepper, and red pepper flakes together in a bowl; pour into a resealable plastic bag. Add beef; coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator, 8 hours to overnight.

Preheat an outdoor grill for medium-high heat and lightly oil the grate.

Transfer beef slices from marinade to preheated grill, reserving marinade; cook until no longer pink in the center, about 3 minutes per side. Place beef in a serving dish.

Place marinade in a saucepan with soy sauce, water, gochujang, 1 teaspoon brown sugar, and 1 teaspoon mirin. Bring to a boil and cook until thickened to sauce consistency, 3 to 5 minutes. Pour sauce over beef.
",korean,KOR
Kimchi Pancakes,35,4 appetizer-sized pancakes,1 (12 ounce) jar kimchi,"Drain kimchi thoroughly through a sieve and reserve the juice. Chop kimchi finely.

Combine egg, 3 tablespoons kimchi juice, water, brown sugar, salt, and sesame oil in a large bowl. Whisk together. Add green onions and kimchi. Stir in flour just until combined.

Heat oil in a skillet over medium-high heat. Add a few spoonfuls of pancake batter; any size pancake will do. Cook until edges are lightly browned, about 3 minutes. Flip and cook until crispy, 2 to 3 minutes more. Transfer pancake to a serving plate and repeat with remaining batter. Sprinkle bonito flakes on top.
",korean,KOR
The Real Deal Korean Beef Ribs,90,6 servings,"4 pounds Korean-style short ribs (beef chuck flanken, cut 1/3 to 1/2 inch thick across bones)","Wash the ribs, removing any stray bits of bone, and allow to drain for 30 minutes.

Whisk together the soy sauce, sugar, honey, garlic, pepper, water, sesame oil, and plum wine until the sugar has dissolved; pour the mixture into a 1 gallon plastic zipper bag. Place the ribs into the marinade, squeeze all the air out of the bag, zip it up, and refrigerate at least 24 hours.

The next day, remove the ribs from the refrigerator and allow to come to room temperature before grilling.  Remove the ribs from the marinade and discard the marinade.

Preheat an outdoor grill for medium-high heat, and lightly oil the grate. Grill the ribs until browned and no longer pink inside, 4 to 6 minutes per side.
",korean,KOR
Korean Soybean Noodles (Kong Kook Su),80,2 servings,1 cup dried soybeans,"Place soybeans in a bowl; add enough hot water to cover. Soak soybeans for 1 to 2 hours; drain.

Transfer soybeans to a pot and add enough water to cover; bring to a boil. Drain and rinse well under cold water.

Bring a pot of water to a boil; add noodles and cook until tender yet firm to the bite, 3 to 4 minutes. Drain.

Combine soybeans and 2 1/2 cups water in a blender; blend until smooth. Add water or strain water until desired consistency is reached.

Place noodles in a bowl and top with pureed soybeans, tomato, cucumber, and sesame seeds; season with salt.
",korean,KOR
Korean Rice Cake (Tteok),95,16 big rectangles,"2 teaspoons oil, or as needed","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking pan generously with oil.

Whisk milk and egg together in a bowl.

Sift rice flour, sugar, baking powder, and salt together in a separate bowl. Mix in milk mixture until well blended. Fold in dried fruit. Pour batter into the prepared baking pan.

Bake in the preheated oven until edges start to brown, about 1 hour. Let cool completely, 20 to 30 minutes, before slicing.
",korean,KOR
Kimchi (Korean Fermented Spicy Cabbage),565,14 servings,3 heads napa cabbage,"Remove discolored, bruised outer leaves of cabbage and rinse cabbage under cold water. Cut cabbage head into 2-inch pieces.

Divide 3 cups water among 3 bowls. Stir 1 cup sea salt into each bowl of water. Sprinkle the remaining 1 cup sea salt over cabbage.

Place salted cabbage in the 3 bowls salted water until partially submerged; let sit 6 to 12 hours.

Rinse cabbage thoroughly under cold water several times. Squeeze cabbage to remove excess water. Cabbage should have a rubbery texture. Transfer cabbage to a colander or basket to thoroughly drain the cabbage, at least 2 hours.

Combine 3 cups water and rice flour in a saucepan; bring to a boil. Whisk mixture until a glue-like consistency, 5 to 10 minutes. Remove saucepan from heat and cool rice mixture to room temperature.

Combine onion, garlic, ginger, and 1 tablespoon water in a food processor; pulse until smooth, adding more water if needed.

Pour chile flakes into a large bowl; stir in onion-garlic mixture, cooled rice flour mixture, fish sauce, shrimp, brown sugar, and sesame seeds until well mixed. Add radish and green onions and mix well.

Coat each cabbage piece with chile mixture by using your hands. (Rubber gloves are highly recommended.) Pack coated cabbage leaves inside air-tight glass jars or containers; cover each tightly with a lid. Keep jars at room temperature for fermentation to occur, about 2 days. Refrigerate kimchi after the 2 days.
",korean,KOR
Moose's Close-Enough Bulgogi,206,4 servings,1 tablespoon sesame seeds,"Toast sesame seeds in a small skillet over medium heat until lightly browned, 3 to 5 minutes.

Combine onion, Asian pear, dark soy sauce, light soy sauce, rice wine, sesame oil, ginger, garlic, and black pepper in a blender. Puree into a smooth marinade. Add sesame seeds; blend briefly on low just to mix them in.

Spread a thin layer of marinade in the bottom of a large container. Add a single layer of beef. Cover beef evenly with another thin layer of marinade. Repeat with remaining beef and marinade. Cover container and refrigerate until flavors combine, at least 3 hours and preferably overnight.

Heat a large grill pan or skillet over high heat. Add all the beef and marinade; cook, stirring constantly, until most of the marinade evaporates and the beef starts to brown, 3 to 4 minutes.  An instant-read thermometer inserted into a slice should read 140 degrees F (60 degrees C).
",korean,KOR
Hotteok,50,10 hotteok,2 ½ cups all-purpose flour,"Combine flour, yeast, and 2 teaspoons white sugar together in a bowl.

Stir milk and water together in a microwave-safe bowl and heat until lukewarm, about 20 seconds. Pour milk mixture into the flour mixture and mix with a fork until dough is evenly combined.

Turn dough onto a lightly floured surface and knead for 2 minutes. (Dough will be sticky.) Add salt to the dough and knead until dough is smooth, 2 minutes more. Shape dough into a ball, place on a floured surface, cover with a wet paper towel, and let rise for 10 minutes.

Mix brown sugar, 1/4 cup white sugar, walnuts, sesame seeds, and cinnamon together in a resealable plastic bag. Close bag and shake until filling is evenly combined.

Roll dough into a cylinder, cut into 10 pieces and form each into a ball. Roll each ball into a 5-inch circle using a rolling pin. Place dough into the palm of your hand and spoon 2 tablespoons filling into the middle of the dough. Wrap dough around filling, forming into a ball by taking 4 corners of dough, pinching together in the middle. Take another 4 corners and pinch together, sealing completely. Place balls, seam-side down, onto a floured surface.

Roll each ball into a 5-inch circle using a rolling pin, making sure filling stays in dough.

Place margarine in a skillet, spreading around with a paper towel; heat over medium heat. Place dough in the melted margarine and cook until golden brown, 5 to 10 minutes per side.
",korean,KOR
Russian Carrot Salad (Korean-Style),280,8 servings,"1 pound carrots, peeled and julienned (preferably with a mandoline)","Place carrots in a large bowl. Sprinkle garlic over carrots.

Mix vinegar, sugar, and salt together in a small bowl.

Heat oil in a skillet over medium heat. Cook and stir onion in hot oil until soft and translucent, 5 to 7 minutes. Stir coriander and cayenne pepper into the onion; add to carrot mixture and toss. Pour vinegar dressing over carrot mixture; toss to coat.

Transfer carrot salad to a dish with a tight-fitting lid, cover, and refrigerate 4 to 24 hours, tossing salad several times while it marinates.
",korean,KOR
